,date,venue,innings,target,team,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,d1,r1,w1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,d2,r2,w2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,d3,r3,w3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,d4,r4,w4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,d5,r5,w5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,d6,r6,w6
0,2018-04-30,Maharashtra Cricket Association Stadium,1,,Chennai Super Kings,0,4,0,1,0,1,,,,,,,6,6,0,0,0,0,0,0,1,,,,,,,6,1,0,4,0,1,4,0,0,,,,,,,6,9,0,1,1,1,1,4,1,,,,,,,6,9,0,1,0,6,6,1,6,,,,,,,6,20,0,0,6,0,1,0,4,,,,,,,6,11,0
1,2018-04-30,Maharashtra Cricket Association Stadium,2,198,Delhi Daredevils,1,0,0,0,0,0,,,,,,,6,1,0,1,4,0,4,0,0,1,,,,,,7,10,0,1,0,1,0,4,0,,,,,,,6,6,0,1,2,1,6,0,4,,,,,,,6,14,0,1,0,4,4,6,0,,,,,,,6,15,0,6,4,1,0,1,1,,,,,,,6,13,0
2,2014-04-27,Sharjah Cricket Stadium,1,,Sunrisers Hyderabad,1,0,0,4,1,2,,,,,,,6,8,0,1,0,4,1,0,1,,,,,,,6,7,0,0,0,0,0,1,0,,,,,,,6,1,0,1,4,1,0,1,4,,,,,,,6,11,0,0,0,4,0,0,1,,,,,,,6,5,0,1,1,1,0,1,1,,,,,,,6,5,0
3,2014-04-27,Sharjah Cricket Stadium,2,146,Chennai Super Kings,0,2,0,4,0,0,,,,,,,6,6,0,1,0,4,0,1,0,,,,,,,6,6,0,0,1,0,6,0,1,,,,,,,6,8,0,1,1,2,0,0,1,,,,,,,6,5,0,4,0,0,0,1,6,,,,,,,6,11,0,4,1,0,4,1,1,,,,,,,6,11,0
4,2008-05-28,"Punjab Cricket Association Stadium, Mohali",1,,Kings XI Punjab,0,1,0,0,4,0,,,,,,,6,5,0,0,0,4,0,0,4,,,,,,,6,8,0,4,1,1,0,6,0,0,,,,,,7,12,0,1,4,4,0,1,0,,,,,,,6,10,0,1,0,0,4,0,1,,,,,,,6,6,0,1,0,4,4,1,0,,,,,,,6,10,0
5,2008-05-28,"Punjab Cricket Association Stadium, Mohali",2,180,Rajasthan Royals,0,1,0,0,4,0,,,,,,,6,5,0,0,0,0,1,1,1,,,,,,,6,3,0,0,0,0,1,0,1,,,,,,,6,2,0,4,4,1,4,0,4,1,,,,,,7,18,0,0,0,0,1,0,0,,,,,,,6,1,0,0,4,0,4,0,1,,,,,,,6,9,0
6,2011-04-28,Feroz Shah Kotla,1,,Kolkata Knight Riders,1,0,1,0,1,1,,,,,,,6,4,0,1,0,0,0,4,0,4,,,,,,7,9,0,0,0,1,0,0,1,,,,,,,6,2,0,0,4,1,4,4,0,,,,,,,6,13,0,1,0,0,0,1,4,,,,,,,6,6,0,0,1,0,1,4,2,,,,,,,6,8,0
7,2011-04-28,Feroz Shah Kotla,2,131,Delhi Daredevils,1,1,4,1,0,0,0,,,,,,7,7,0,0,4,1,1,1,0,,,,,,,6,7,0,0,0,0,1,0,1,,,,,,,6,2,0,1,6,4,0,0,1,,,,,,,6,12,0,1,0,0,0,1,4,,,,,,,6,6,0,1,0,0,1,0,4,1,,,,,,7,7,0
8,2015-05-15,"Rajiv Gandhi International Stadium, Uppal",1,,Sunrisers Hyderabad,0,2,1,1,1,1,,,,,,,6,6,0,0,2,1,0,2,4,,,,,,,6,9,0,4,0,2,4,0,1,1,,,,,,7,12,0,1,1,1,1,1,1,,,,,,,6,6,0,4,1,1,1,6,4,,,,,,,6,17,0,2,1,0,2,1,5,6,1,,,,,8,18,0
9,2015-05-15,"Rajiv Gandhi International Stadium, Uppal",2,83,Royal Challengers Bangalore,4,6,1,4,2,0,,,,,,,6,17,0,4,4,0,6,4,6,,,,,,,6,24,0,0,1,1,0,0,1,0,,,,,,7,3,0,2,1,1,2,2,6,,,,,,,6,14,0,0,0,2,6,1,1,,,,,,,6,10,0,1,0,4,4,6,,,,,,,,5,15,0
10,2011-05-07,Eden Gardens,1,,Chennai Super Kings,0,0,0,1,0,0,,,,,,,6,1,0,1,2,0,1,0,0,,,,,,,6,4,0,0,0,2,0,0,0,,,,,,,6,2,0,0,1,0,0,0,1,,,,,,,6,2,0,0,0,1,1,0,1,,,,,,,6,3,0,1,0,1,1,0,0,0,,,,,,7,3,0
11,2011-05-07,Eden Gardens,2,61,Kolkata Knight Riders,0,1,1,4,0,1,1,,,,,,7,8,0,1,0,0,4,1,0,0,,,,,,7,6,0,0,4,1,0,2,0,,,,,,,6,7,0,2,1,1,0,0,0,,,,,,,6,4,0,0,0,4,1,0,1,,,,,,,6,6,0,0,2,0,0,0,0,,,,,,,6,2,0
12,2017-05-03,Eden Gardens,1,,Kolkata Knight Riders,0,0,0,0,0,0,,,,,,,6,0,0,4,2,0,1,0,1,,,,,,,6,8,0,0,4,0,0,1,1,,,,,,,6,6,0,0,0,0,1,4,0,,,,,,,6,5,0,0,0,0,4,4,0,,,,,,,6,8,0,1,2,4,6,0,1,,,,,,,6,14,0
13,2017-05-03,Eden Gardens,2,158,Rising Pune Supergiant,0,4,0,2,1,0,,,,,,,6,7,0,0,0,4,0,0,0,,,,,,,6,4,0,0,4,1,0,6,4,4,,,,,,7,19,0,4,1,1,1,6,4,,,,,,,6,17,0,0,6,1,4,1,0,,,,,,,6,12,0,1,0,0,6,4,0,4,,,,,,7,15,0
14,2012-04-21,"MA Chidambaram Stadium, Chepauk",1,,Rajasthan Royals,0,0,0,0,1,4,,,,,,,6,5,0,1,1,0,1,4,1,0,,,,,,7,8,0,0,4,2,0,0,0,,,,,,,6,6,0,4,4,1,0,0,6,,,,,,,6,15,0,0,1,1,0,0,0,,,,,,,6,2,0,4,0,0,0,1,0,,,,,,,6,5,0
15,2012-04-21,"MA Chidambaram Stadium, Chepauk",2,147,Chennai Super Kings,0,0,0,0,1,1,,,,,,,6,2,0,4,4,0,4,0,0,,,,,,,6,12,0,2,4,0,1,1,1,,,,,,,6,9,0,1,2,1,0,0,2,,,,,,,6,6,0,1,1,4,4,1,0,,,,,,,6,11,0,4,0,1,0,0,0,,,,,,,6,5,0
16,2017-05-17,M Chinnaswamy Stadium,1,,Sunrisers Hyderabad,0,1,0,1,4,1,,,,,,,6,7,0,0,0,1,1,0,4,,,,,,,6,6,0,1,1,0,0,4,1,,,,,,,6,7,0,1,1,1,0,1,1,,,,,,,6,5,0,0,0,1,0,0,1,,,,,,,6,2,0,0,0,0,1,1,1,,,,,,,6,3,0
